round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,16,SIUE,7,1054,0.007,0.11711111111111111,-0.1101111111111111,-0.9402277039848197
First Round,15,Omaha,14,1168,0.014,0.12977777777777777,-0.11577777777777777,-0.8921232876712328
First Round,16,American,7,1126,0.007,0.12511111111111112,-0.11811111111111111,-0.9440497335701599
First Round,16,Norfolk St,11,1183,0.011,0.13144444444444445,-0.12044444444444445,-0.9163144547759933
First Round,15,Wofford,29,1376,0.029,0.15288888888888888,-0.12388888888888888,-0.8103197674418605
First Round,14,UNC Wilmington,19,1358,0.019,0.15088888888888888,-0.1318888888888889,-0.8740795287187041
First Round,15,Bryant,15,1595,0.015,0.17722222222222223,-0.1622222222222222,-0.915360501567398
First Round,15,Robert Morris,39,1919,0.039,0.21322222222222223,-0.17422222222222222,-0.8170922355393434
First Round,14,Montana,55,2264,0.055,0.25155555555555553,-0.19655555555555554,-0.7813604240282686
First Round,14,Troy,57,2288,0.057,0.25422222222222224,-0.19722222222222224,-0.7757867132867133
First Round,14,Lipscomb,50,2287,0.05,0.2541111111111111,-0.20411111111111113,-0.8032356799300394
First Round,10,Vanderbilt,72,2785,0.072,0.30944444444444447,-0.23744444444444446,-0.7673249551166966
First Round,12,McNeese,66,2798,0.066,0.3108888888888889,-0.24488888888888888,-0.7877055039313795
First Round,9,Georgia,91,3033,0.091,0.337,-0.24600000000000002,-0.7299703264094956
First Round,13,Grand Canyon,58,2885,0.058,0.32055555555555554,-0.26255555555555554,-0.8190641247833622
First Round,13,Akron,64,2972,0.064,0.3302222222222222,-0.2662222222222222,-0.8061911170928667
First Round,12,Liberty,66,3063,0.066,0.3403333333333333,-0.2743333333333333,-0.8060724779627816
First Round,12,UC San Diego,84,3240,0.084,0.36,-0.27599999999999997,-0.7666666666666666
First Round,11,San Diego St,76,3265,0.076,0.36277777777777775,-0.28677777777777774,-0.7905053598774885
First Round,13,Yale,68,3193,0.068,0.3547777777777778,-0.2867777777777778,-0.8083307234575634
First Round,13,High Point,109,3579,0.109,0.39766666666666667,-0.2886666666666667,-0.7259010896898576
First Round,11,Texas,79,3356,0.079,0.3728888888888889,-0.29388888888888887,-0.7881406436233611
First Round,10,Utah State,99,3616,0.099,0.4017777777777778,-0.3027777777777778,-0.7535951327433629
First Round,9,Creighton,69,3350,0.069,0.37222222222222223,-0.3032222222222222,-0.8146268656716418
First Round,9,Oklahoma,108,3725,0.108,0.41388888888888886,-0.3058888888888889,-0.7390604026845637
First Round,11,VCU,92,3788,0.092,0.42088888888888887,-0.3288888888888889,-0.7814149947201691
First Round,16,Alabama St,102,3906,0.102,0.434,-0.332,-0.7649769585253456
First Round,10,Arkansas,124,4130,0.124,0.4588888888888889,-0.3348888888888889,-0.7297820823244552
First Round,12,Colorado St,97,3959,0.097,0.4398888888888889,-0.3428888888888889,-0.7794897701439758
First Round,10,New Mexico,114,4342,0.114,0.48244444444444445,-0.36844444444444446,-0.7637033625057578
First Round,9,Baylor,100,4238,0.1,0.4708888888888889,-0.37088888888888893,-0.7876356772062294
First Round,11,Drake,142,5166,0.142,0.574,-0.43199999999999994,-0.7526132404181184
Second Round,16,SIUE,0,306,0.0,0.034,-0.034,-1.0
Second Round,14,UNC Wilmington,0,343,0.0,0.03811111111111111,-0.03811111111111111,-1.0
Second Round,16,American,1,382,0.001,0.042444444444444444,-0.041444444444444443,-0.9764397905759162
Second Round,15,Omaha,1,387,0.001,0.043,-0.041999999999999996,-0.9767441860465116
Second Round,16,Norfolk St,1,413,0.001,0.04588888888888889,-0.04488888888888889,-0.9782082324455206
Second Round,15,Wofford,1,460,0.001,0.051111111111111114,-0.05011111111111111,-0.9804347826086957
Second Round,15,Bryant,2,534,0.002,0.059333333333333335,-0.05733333333333333,-0.9662921348314606
Second Round,14,Montana,2,660,0.002,0.07333333333333333,-0.07133333333333333,-0.9727272727272727
Second Round,15,Robert Morris,1,663,0.001,0.07366666666666667,-0.07266666666666667,-0.9864253393665158
Second Round,14,Lipscomb,6,736,0.006,0.08177777777777778,-0.07577777777777778,-0.9266304347826086
Second Round,6,Missouri,78,1387,0.078,0.15411111111111112,-0.07611111111111112,-0.49387166546503247
Second Round,9,Georgia,9,803,0.009,0.08922222222222222,-0.08022222222222222,-0.8991282689912827
Second Round,7,Kansas,47,1188,0.047,0.132,-0.085,-0.6439393939393939
Second Round,8,Mississippi St,39,1119,0.039,0.12433333333333334,-0.08533333333333334,-0.6863270777479893
Second Round,14,Troy,3,821,0.003,0.09122222222222222,-0.08822222222222222,-0.9671132764920828
Second Round,9,Oklahoma,6,906,0.006,0.10066666666666667,-0.09466666666666666,-0.9403973509933774
Second Round,10,Vanderbilt,7,918,0.007,0.102,-0.09499999999999999,-0.9313725490196078
Second Round,8,UConn,50,1337,0.05,0.14855555555555555,-0.09855555555555555,-0.6634255796559462
Second Round,8,Louisville,162,2350,0.162,0.2611111111111111,-0.09911111111111112,-0.3795744680851064
Second Round,13,Grand Canyon,5,962,0.005,0.1068888888888889,-0.10188888888888889,-0.9532224532224531
Second Round,7,Marquette,63,1513,0.063,0.1681111111111111,-0.1051111111111111,-0.6252478519497686
Second Round,10,Arkansas,5,1091,0.005,0.12122222222222222,-0.11622222222222221,-0.9587534372135655
Second Round,7,UCLA,80,1782,0.08,0.198,-0.11800000000000001,-0.595959595959596
Second Round,9,Creighton,12,1211,0.012,0.13455555555555557,-0.12255555555555557,-0.9108175061932288
Second Round,10,Utah State,8,1179,0.008,0.131,-0.123,-0.9389312977099236
Second Round,13,Yale,2,1131,0.002,0.12566666666666668,-0.12366666666666667,-0.9840848806366047
Second Round,9,Baylor,5,1161,0.005,0.129,-0.124,-0.9612403100775193
Second Round,12,McNeese,13,1235,0.013,0.13722222222222222,-0.12422222222222222,-0.9052631578947369
Second Round,13,Akron,7,1183,0.007,0.13144444444444445,-0.12444444444444444,-0.9467455621301775
Second Round,12,Liberty,12,1244,0.012,0.13822222222222222,-0.1262222222222222,-0.9131832797427651
Second Round,6,Illinois,155,2670,0.155,0.2966666666666667,-0.1416666666666667,-0.4775280898876405
Second Round,13,High Point,11,1377,0.011,0.153,-0.142,-0.9281045751633986
Second Round,11,Texas,9,1375,0.009,0.1527777777777778,-0.14377777777777778,-0.9410909090909091
Second Round,8,Gonzaga,55,1799,0.055,0.1998888888888889,-0.1448888888888889,-0.7248471372984993
Second Round,11,San Diego St,7,1411,0.007,0.15677777777777777,-0.14977777777777776,-0.955350815024805
Second Round,6,BYU,155,2756,0.155,0.30622222222222223,-0.15122222222222223,-0.4938316400580552
Second Round,5,Memphis,130,2534,0.13,0.28155555555555556,-0.15155555555555555,-0.5382794001578531
Second Round,12,UC San Diego,19,1638,0.019,0.182,-0.163,-0.8956043956043956
Second Round,7,Saint Mary's,115,2534,0.115,0.28155555555555556,-0.16655555555555557,-0.5915548539857932
Second Round,10,New Mexico,7,1579,0.007,0.17544444444444443,-0.16844444444444442,-0.9601013299556681
Second Round,5,Oregon,152,2947,0.152,0.3274444444444444,-0.17544444444444443,-0.5357991177468612
Second Round,6,Ole Miss,137,2873,0.137,0.31922222222222224,-0.18222222222222223,-0.5708318830490776
Second Round,5,Clemson,213,3584,0.213,0.3982222222222222,-0.1852222222222222,-0.46512276785714285
Second Round,5,Michigan,163,3247,0.163,0.36077777777777775,-0.19777777777777775,-0.5481983369263935
Second Round,11,VCU,19,1955,0.019,0.21722222222222223,-0.19822222222222224,-0.912531969309463
Second Round,12,Colorado St,14,2029,0.014,0.22544444444444445,-0.21144444444444443,-0.9379004435682602
Second Round,16,Alabama St,14,2124,0.014,0.236,-0.22199999999999998,-0.9406779661016949
Second Round,11,Drake,13,2566,0.013,0.2851111111111111,-0.2721111111111111,-0.9544037412314886
Sweet 16,4,Texas A&M,183,1159,0.183,0.12877777777777777,0.05422222222222223,0.42105263157894746
Sweet 16,14,UNC Wilmington,0,105,0.0,0.011666666666666667,-0.011666666666666667,-1.0
Sweet 16,16,SIUE,0,114,0.0,0.012666666666666666,-0.012666666666666666,-1.0
Sweet 16,16,Norfolk St,0,130,0.0,0.014444444444444444,-0.014444444444444444,-1.0
Sweet 16,16,American,0,136,0.0,0.015111111111111112,-0.015111111111111112,-1.0
Sweet 16,15,Omaha,0,140,0.0,0.015555555555555555,-0.015555555555555555,-1.0
Sweet 16,15,Wofford,0,169,0.0,0.01877777777777778,-0.01877777777777778,-1.0
Sweet 16,15,Bryant,0,184,0.0,0.020444444444444446,-0.020444444444444446,-1.0
Sweet 16,14,Montana,0,213,0.0,0.023666666666666666,-0.023666666666666666,-1.0
Sweet 16,14,Troy,1,246,0.001,0.027333333333333334,-0.026333333333333334,-0.9634146341463414
Sweet 16,14,Lipscomb,0,241,0.0,0.02677777777777778,-0.02677777777777778,-1.0
Sweet 16,4,Purdue,59,787,0.059,0.08744444444444445,-0.028444444444444453,-0.32528589580686157
Sweet 16,15,Robert Morris,0,265,0.0,0.029444444444444443,-0.029444444444444443,-1.0
Sweet 16,3,Wisconsin,145,1578,0.145,0.17533333333333334,-0.03033333333333335,-0.1730038022813689
Sweet 16,4,Maryland,98,1182,0.098,0.13133333333333333,-0.033333333333333326,-0.2538071065989847
Sweet 16,12,McNeese,1,320,0.001,0.035555555555555556,-0.034555555555555555,-0.9718749999999999
Sweet 16,6,Missouri,9,400,0.009,0.044444444444444446,-0.035444444444444445,-0.7975
Sweet 16,13,Grand Canyon,0,320,0.0,0.035555555555555556,-0.035555555555555556,-1.0
Sweet 16,9,Georgia,2,345,0.002,0.03833333333333333,-0.03633333333333333,-0.9478260869565217
Sweet 16,10,Vanderbilt,0,341,0.0,0.03788888888888889,-0.03788888888888889,-1.0
Sweet 16,13,Yale,1,358,0.001,0.03977777777777778,-0.03877777777777778,-0.9748603351955307
Sweet 16,13,Akron,0,350,0.0,0.03888888888888889,-0.03888888888888889,-1.0
Sweet 16,12,Liberty,0,356,0.0,0.03955555555555555,-0.03955555555555555,-1.0
Sweet 16,9,Oklahoma,0,394,0.0,0.04377777777777778,-0.04377777777777778,-1.0
Sweet 16,13,High Point,0,408,0.0,0.04533333333333334,-0.04533333333333334,-1.0
Sweet 16,8,Mississippi St,5,474,0.005,0.05266666666666667,-0.04766666666666667,-0.9050632911392406
Sweet 16,11,Texas,2,467,0.002,0.05188888888888889,-0.049888888888888885,-0.9614561027837258
Sweet 16,10,Arkansas,1,491,0.001,0.05455555555555556,-0.05355555555555556,-0.9816700610997963
Sweet 16,10,Utah State,2,515,0.002,0.05722222222222222,-0.05522222222222222,-0.9650485436893204
Sweet 16,7,Kansas,3,531,0.003,0.059,-0.055999999999999994,-0.9491525423728813
Sweet 16,9,Baylor,0,518,0.0,0.057555555555555554,-0.057555555555555554,-1.0
Sweet 16,11,San Diego St,0,529,0.0,0.058777777777777776,-0.058777777777777776,-1.0
Sweet 16,8,UConn,4,568,0.004,0.06311111111111112,-0.059111111111111114,-0.9366197183098591
Sweet 16,3,Iowa State,118,1605,0.118,0.17833333333333334,-0.06033333333333335,-0.33831775700934585
Sweet 16,9,Creighton,2,590,0.002,0.06555555555555556,-0.06355555555555556,-0.9694915254237287
Sweet 16,12,UC San Diego,0,575,0.0,0.06388888888888888,-0.06388888888888888,-1.0
Sweet 16,3,Kentucky,118,1659,0.118,0.18433333333333332,-0.06633333333333333,-0.35985533453887886
Sweet 16,7,Marquette,6,660,0.006,0.07333333333333333,-0.06733333333333333,-0.9181818181818181
Sweet 16,3,Texas Tech,93,1478,0.093,0.16422222222222221,-0.07122222222222221,-0.43369418132611637
Sweet 16,4,Arizona,68,1281,0.068,0.14233333333333334,-0.07433333333333333,-0.522248243559719
Sweet 16,10,New Mexico,1,740,0.001,0.08222222222222222,-0.08122222222222222,-0.9878378378378379
Sweet 16,12,Colorado St,1,753,0.001,0.08366666666666667,-0.08266666666666667,-0.9880478087649402
Sweet 16,5,Memphis,17,900,0.017,0.1,-0.083,-0.83
Sweet 16,7,UCLA,10,862,0.01,0.09577777777777778,-0.08577777777777779,-0.8955916473317866
Sweet 16,11,Drake,0,824,0.0,0.09155555555555556,-0.09155555555555556,-1.0
Sweet 16,11,VCU,4,893,0.004,0.09922222222222223,-0.09522222222222222,-0.959686450167973
Sweet 16,8,Gonzaga,8,930,0.008,0.10333333333333333,-0.09533333333333333,-0.9225806451612902
Sweet 16,6,Illinois,23,1066,0.023,0.11844444444444445,-0.09544444444444444,-0.8058161350844277
Sweet 16,5,Oregon,21,1095,0.021,0.12166666666666667,-0.10066666666666667,-0.8273972602739725
Sweet 16,8,Louisville,33,1235,0.033,0.13722222222222222,-0.10422222222222222,-0.7595141700404858
Sweet 16,6,Ole Miss,23,1196,0.023,0.1328888888888889,-0.1098888888888889,-0.826923076923077
Sweet 16,7,Saint Mary's,19,1188,0.019,0.132,-0.113,-0.8560606060606061
Sweet 16,5,Clemson,24,1302,0.024,0.14466666666666667,-0.12066666666666667,-0.8341013824884793
Sweet 16,6,BYU,29,1365,0.029,0.15166666666666667,-0.12266666666666667,-0.8087912087912088
Sweet 16,5,Michigan,33,1528,0.033,0.16977777777777778,-0.13677777777777778,-0.8056282722513088
Sweet 16,16,Alabama St,0,1235,0.0,0.13722222222222222,-0.13722222222222222,-1.0
Elite 8,2,Michigan St,257,2128,0.257,0.23644444444444446,0.02055555555555555,0.08693609022556388
Elite 8,14,UNC Wilmington,0,39,0.0,0.004333333333333333,-0.004333333333333333,-1.0
Elite 8,16,SIUE,0,42,0.0,0.004666666666666667,-0.004666666666666667,-1.0
Elite 8,16,Norfolk St,0,51,0.0,0.005666666666666667,-0.005666666666666667,-1.0
Elite 8,15,Wofford,0,56,0.0,0.006222222222222222,-0.006222222222222222,-1.0
Elite 8,15,Bryant,0,58,0.0,0.0064444444444444445,-0.0064444444444444445,-1.0
Elite 8,16,American,0,59,0.0,0.006555555555555556,-0.006555555555555556,-1.0
Elite 8,15,Omaha,0,61,0.0,0.0067777777777777775,-0.0067777777777777775,-1.0
Elite 8,14,Montana,0,71,0.0,0.00788888888888889,-0.00788888888888889,-1.0
Elite 8,14,Lipscomb,0,80,0.0,0.008888888888888889,-0.008888888888888889,-1.0
Elite 8,14,Troy,0,91,0.0,0.01011111111111111,-0.01011111111111111,-1.0
Elite 8,15,Robert Morris,0,99,0.0,0.011,-0.011,-1.0
Elite 8,13,Grand Canyon,0,111,0.0,0.012333333333333333,-0.012333333333333333,-1.0
